2025-09-08T16:05:45.000000000Z [inf]  Starting Container
2025-09-08T16:05:46.571288856Z [inf]  
2025-09-08T16:05:46.571294473Z [inf]  > whatsapp-bot-config@1.0.0 start
2025-09-08T16:05:46.571300667Z [inf]  > node dist/server.js
2025-09-08T16:05:46.571307399Z [inf]  
2025-09-08T16:05:46.695566249Z [inf]  ✅ Conectado ao PostgreSQL
2025-09-08T16:05:46.705716528Z [inf]  📋 Tabelas do banco de dados inicializadas
2025-09-08T16:05:46.709455070Z [inf]  🚀 Servidor rodando na porta 3000
2025-09-08T16:05:46.709459855Z [inf]  📱 Ambiente: production
2025-09-08T16:05:46.709464148Z [inf]  🔗 WAHA URL: https://wahawa-production-a06b.up.railway.app
2025-09-08T16:05:46.709468927Z [inf]  🤖 Sessão: default
2025-09-08T16:05:46.709473015Z [inf]  🌐 Frontend: http://localhost:3000
2025-09-08T16:05:46.709477700Z [inf]  📡 API: http://localhost:3000/api
2025-09-08T16:05:46.709482134Z [inf]  🔔 Webhook: http://localhost:3000/webhook
2025-09-08T16:05:49.366599723Z [err]  Erro ao obter status da sessão: AxiosError: Request failed with status code 404
2025-09-08T16:05:49.366604879Z [err]      at settle (/app/node_modules/axios/dist/node/axios.cjs:2090:12)
2025-09-08T16:05:49.366610622Z [err]      at IncomingMessage.handleStreamEnd (/app/node_modules/axios/dist/node/axios.cjs:3207:11)
2025-09-08T16:05:49.366615881Z [err]      at IncomingMessage.emit (node:events:529:35)
2025-09-08T16:05:49.366622146Z [err]      at endReadableNT (node:internal/streams/readable:1400:12)
2025-09-08T16:05:49.366627239Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21)
2025-09-08T16:05:49.366633023Z [err]      at Axios.request (/app/node_modules/axios/dist/node/axios.cjs:4317:41)
2025-09-08T16:05:49.366638043Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2025-09-08T16:05:49.366643232Z [err]      at async WahaService.getSessionStatus (/app/dist/services/wahaService.js:23:30)
2025-09-08T16:05:49.366648942Z [err]      at async /app/dist/routes/api.js:242:24 {
2025-09-08T16:05:49.366654021Z [err]    code: 'ERR_BAD_REQUEST',
2025-09-08T16:05:49.366659098Z [err]    config: {
2025-09-08T16:05:49.366664754Z [err]      transitional: {
2025-09-08T16:05:49.366669401Z [err]        silentJSONParsing: true,
2025-09-08T16:05:49.366673836Z [err]        forcedJSONParsing: true,
2025-09-08T16:05:49.366677689Z [err]        clarifyTimeoutError: false
2025-09-08T16:05:49.366681596Z [err]      },
2025-09-08T16:05:49.366686150Z [err]      adapter: [ 'xhr', 'http', 'fetch' ],
2025-09-08T16:05:49.366690202Z [err]      transformRequest: [ [Function: transformRequest] ],
2025-09-08T16:05:49.366693948Z [err]      transformResponse: [ [Function: transformResponse] ],
2025-09-08T16:05:49.366699062Z [err]      timeout: 30000,
2025-09-08T16:05:49.366969857Z [err]      xsrfCookieName: 'XSRF-TOKEN',
2025-09-08T16:05:49.366976665Z [err]      xsrfHeaderName: 'X-XSRF-TOKEN',
2025-09-08T16:05:49.366982067Z [err]      maxContentLength: -1,
2025-09-08T16:05:49.366986961Z [err]      maxBodyLength: -1,
2025-09-08T16:05:49.366992925Z [err]      },
2025-09-08T16:05:49.366999814Z [err]      _events: [Object: null prototype] {
2025-09-08T16:05:49.367004947Z [err]      baseURL: 'https://wahawa-production-a06b.up.railway.app',
2025-09-08T16:05:49.367007170Z [err]        abort: [Function (anonymous)],
2025-09-08T16:05:49.367013010Z [err]        aborted: [Function (anonymous)],
2025-09-08T16:05:49.367014106Z [err]      method: 'get',
2025-09-08T16:05:49.367019494Z [err]        connect: [Function (anonymous)],
2025-09-08T16:05:49.367023079Z [err]      url: '/api/sessions/default/status',
2025-09-08T16:05:49.367029297Z [err]    },
